name,description,path,,,Genetically related features,Deposit environment,Deposit group,Deposit type,Synonym(s),Example(s),Reference(s)
Epizonal orogenic antimony ± gold,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism",Metamorphic hydrothermal,Orogenic,Epizonal orogenic antimony ± gold,,"AUS: Hillgrove, NSW; CAN: Bridge River-Bralorne, BC; U.S.: U.S. Antimony Mine, Mont.","Bliss and Orris, 1986; Groves and others, 1998; Goldfarb and others, 2005, 2016; Hofstra and others, 2013"
Epizonal orogenic mercury,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism",Metamorphic hydrothermal,Orogenic,Epizonal orogenic mercury,,"CAN: Pinchi Lake, BC; U.S.: Southwest, Alaska","Gray and Bailey, 2003"
Orogenic silver-lead-zinc-copperantimony,,Orogenic/,,,"Contractional orogen, metamor- phic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, ± alkali metasomatism",Metamorphic hydrothermal,Orogenic,Orogenic silver-lead-zinc-copperantimony,,"AUS: Endeavor (Elura), NSW; Woodcutters, NT; U.S.: Coeur d'Alene district, Idaho-Mont.","Leach and others, 1988, 1998; Beaudoin and Sangster, 1992, 1995"
Orogenic copper ± gold,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, alkali metaso- matism",Metamorphic hydrothermal,Orogenic,Orogenic copper ± gold,,"AUS: Cobar, NSW; Mt. Isa Cu, QLD","Lawrie and Hinman, 1998"
Orogenic graphite,,Orogenic/,,,"Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, carbon metasomatism",Metamorphic hydrothermal,Orogenic,Orogenic graphite,"vein, lump graphite","CAN: Buckingham, QC; Lacdes-Îles, QC; Calumet, QC; Miller, QC; U.S.: Crystal Graphite, Mont.","Luque and others, 2014; Simandl and others, 2015"
Metamorphic,,,,,,,,,,,
Metamorphic graphite,,Metamorphic/,,,Regional metamorphic belts,Metamorphic,Metamorphic,Metamorphic graphite,"Flake graphite, amorphous graphite","AUS: Campoona Shaft, SA; CAN: Lac Knife, QC; U.S.: Graphite Cr. Alaska; Alabama Graphite, Ala.","Luque and others, 2014; Simandl and others, 2015"
Metamorphic kyanit,,Metamorphic/,,,Regional metamorphic belts,Metamorphic,Metamorphic,Metamorphic kyanit,,"CAN: Crocan Lake, ON; U.S.: Dillwyn, Va","Marr, 1992"
Alkali-calcic,,,,,,,,,,,
Low Iron alkalicalcic,,Alkali-calcic/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Alkali-calcic,Low Iron alkalicalcic,,"AUS: Merlin Mo-Re, Mount Dore CuAg-Au-Zn, Tick Hill Au, QLD; BRA: Alvo 118 Cu-Au","Xavier and others, 2012; Babo and others, 2017; Le, 2019"
Albitite-hosted uranium,,Alkali-calcic/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Alkali-calcic,Albitite-hosted uranium,Albitite-type metasomatic U,"AUS: Valhalla U, QLD; CAN: Michelin U, NL","Gandhi, 1978; Polito and others, 2009; Sparkes and others, 2017"
Metasomatic iron,,,,,,,,,,,
Ferroan carbonate polymetallic,,Metasomatic iron/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron,Ferroan carbonate polymetallic,,MRT: Guelb Moghrein Cu-Au,"Kirschbaum and Hitzman, 2016"
Iron sulfide polymetallic,,Metasomatic iron/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron,Iron sulfide polymetallic,ISCG,"AUS: Lorena Co-As-Bi-Au, Mount Cobalt Co-As, QLD; CAN: Delhi Pacific Cu-Ag- Au, QC; IND: Akwali Cu; U.S.: Iron Creek Co-Cu, Idaho","Sarkar and Dasgupta, 1980; McLaughlin and others, 2016; Ristorcelli and Schlitt, 2019"
Iron silicate polymetallic,,Metasomatic iron/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron,Iron silicate polymetallic,,"BRA: Sossego Cu-Au-Ag; CAN: Scadding Au, ON; FIN: Haveri Au; PER: Raul-Condestable Cu-Au-Ag; U.S.: Blackbird Co-Cu-Au, Idaho","Strauss, 2003; De Haller and others, 2006; Schandl and Gorton, 2007; Monteiro and others, 2008; Slack, 2013; Corriveau and others, in press"
Iron oxide polymetallic,,Metasomatic iron/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron,Iron oxide polymetallic,,"BRA: Jatoba Ni; CAN: NICO Au-CoBi-Cu, NT; U.S.: Iron Creek Co-Cu, Idaho","Slack, 2013; AcostaGóngora and others, 2015; Montreuil and others, 2016; Ristorcelli and Schlitt, 2019; Veloso and others, 2020"
Iron oxide uranium,,Metasomatic iron/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron,Iron oxide uranium,,"AUS: Mount Gee U, SA; CAN: Southern Breccia U, NT","Youles and Oilmin, 1986; Montreuil and others, 2015"
Iron oxide gold,,Metasomatic iron/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Metasomatic iron,Iron oxide gold,,"AUS: Prominent Hill Au, SA; White Devil Au-Cu-Bi, Noble Nob Au, Juno Au-Cu-Bi-Ag, NT; U.S.: Detachment Au, Calif.","Schandl and Gorton, 2007; Spencer and Duncan, 2015"
Regional metasomatic IOCG,,,,,,,,,,,
Hematite-dominant IOCG,,Regional metasomatic IOCG/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Regional metasomatic IOCG,Hematite-dominant IOCG,,"AUS: Olympic Dam Cu-Au-Ag-U; Prominent Hill Cu- Au; Carrapateena Cu-Au; Oak Dam West, SA; CHL: Mantoverde Cu-Au","Rieger and others, 2010; Skirrow, 2010; Ehrig and others, 2012; Oz Minerals, Ltd., 2013; Schlegel and Heinrich, 2015; King, 2019"
Magnetite-dominant IOCG,,Regional metasomatic IOCG/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Regional metasomatic IOCG,Magnetite-dominant IOCG,,"AUS: Ernest Henry Cu-Au, QLD; BRA: Salobo Cu-Au-Ag; CAN: Sue Dianne, NT; CHL: Candelaria; CHN Dahongshan Fe-Cu-(Ag- Au); MRT: Guelb Morghein Cu-Co-Au; U.S.: Boss- Bixby Cu, Mo.; Yerington Cu, Nev.; Lights Creek Cu, Calif.","Barton and others, 2000; Marschik and Fontboté, 2001; Camier, 2002; Mark and others, 2006; Mumin and others, 2010; Kirschbaum and Hitzman, 2016; deMelo and others, 2017; Zhao and others, 2017"
Regional metasomatic IOA,,,,,,,,,,,
Hematite-dominant IOA,,Regional metasomatic IOA/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Regional metasomatic IOA,Hematite-dominant IOA,,"AUS: Oak Dam Fe; U.S.: Iron Mtn., Mo.; Cortez Mtns., Nev.","Barton and others, 2000; Davidson and others, 2007"
Magnetite-dominant IOA,,Regional metasomatic IOA/,,,"Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Regional metasomatic IOA,Magnetite-dominant IOA,,"AUS: Lightning Creek Fe, QLD; CAN: Josette Fe-REE, Marmoraton Fe, and Lac Marmont Fe, QC; Mag Hill Fe- (REE-V) and Terra Fe- (REE), NT; CHL: El Laco Fe; CHN: Middle-Lower Yangtze Metallogenic Belt; PER: Marcona Fe; SWE: Kiirunavaara Fe; U.S.: Pea Ridge, Mo.; Mineville FeREE, N.Y.; Humboldt complex, Nev.","McKeown and Klemic, 1956; Leonard and Buddington, 1964; Hildebrand, 1986; Johnson and Barton, 2000; Perring and others, 2000; Edfelt and others, 2005; Clark and others, 2010; Mumin and others, 2010; Chen and others, 2011; Yu and others, 2011; Harlov and others, 2016; Tornos and others, 2017; Corriveau and others, in press; Zhao and others, in press"
Volcanogenic massive sulfide (VMS),,,,,,,,,,,
Mafic-ultramafic VMS,,Volcanogenic massive sulfide (VMS)/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Mafic-ultramafic VMS,"Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Cyprus-type","CAN: Betts Cove, York Harbour, and Tilt Cove, NL; Potterdoal, ON; Chu Chua, BC; Norway: Lokken; U.S.: Turner-Albright, Oreg","Shanks and Thurston, 2012; Hannington, 2014; Monecke and others, 2016"
Mafic-siliciclastic VMS,,Volcanogenic massive sulfide (VMS)/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Besshi-type","AUS: Tritton, NSW; De-Grussa, WA; CAN: Windy Craggy, BC; Goldstream, BC; Standard, BC; True Blue, BC; JPN: Besshi; U.S.: Ducktown, Tenn.","Shanks and Thurston, 2012; Hannington, 2014; Monecke and others, 2016"
Bimodal-mafic VMS,,Volcanogenic massive sulfide (VMS)/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Noranda-type","AUS: Mount Lyell, TAS; Sulphur Springs, WA; CAN: Horne, Quemont, and Noranda, QC; Kidd Creek, ON; Flin Flon, MB; Buchans, NL; Bathurst-Newcastle, NB; JPN: Kuroko; Spain: Rio Tinto; Sweden: Kristieberg; U.S.: Shasta King, Calif.; Lockwood, Wash.; Bald Mountain, Maine","Shanks and Thurston, 2012; Hannington, 2014; Monecke and others, 2016"
Bimodal felsic VMS,,Volcanogenic massive sulfide (VMS)/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,"Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Kuroko-type","AUS: Rosebery, Mount Read, TAS; Gossan Hill, WA; CAN: Myra Falls, BC; Eskay Creek, BC; Izok Lake, NU; CHN: Gacun; JPN: Hokuroku; U.S.: Jerome, Ariz.","Shanks and Thurston, 2012; Hannington, 2014; Monecke and others, 2016"
Felsic-siliciclastic VMS,,Volcanogenic massive sulfide (VMS)/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,"Volcanic-hosted massive sulfide (VHMS), volcanic-associated massive sulfide (VAMS), seafloor massive sulfide (SMS), Bathhursttype, Iberian-type","CAN: Bathurst, NB; Brunswick No 12, NB; ESP: Iberian Pyrite Belt; U.S.: Bonnifield, Alaska","Shanks and Thurston, 2012; Hannington, 2014; Monecke and others, 2016"
Volcanogenic,,,,,,,,,,,
Algoma-type banded iron formation,,Volcanogenic/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic,Algoma-type banded iron formation,Volcanogenic iron formation,"AUS: Koongie Park Formation, WA; BRA: Carajas; CAN: Mary River, NU; Helen Mine, ON; Sherman, ON; Adams, ON; Griffith, ON; Iron Hill, ON; Adam River, ON; Woodstock, NB; Austin Brook, NB; IND: Kudremuk; U.S.: Vermilion, Minn.; VEN: Cerro Bolivar","Cannon, 1986a"
Volcanogenic manganese,,Volcanogenic/,,,"Oceanic rift or arc volcanism, ±fluid exsolution, dilatant faults, convecting seawater, seafloor vents",Volcanic basin hydrothermal,Volcanogenic,Volcanogenic manganese,"Franciscan, Cuban, Olympic Peninsula, and Cyprus manganese","CRI: Nicoya; U.S.: Franciscan Complex, Calif.; Olympic Mtns., Wash.","Mosier and Page, 1988"
Epithermal,,,,,,,,,,,
Low-sulfidation (LS) epithermal goldsilver,,Epithermal/,,,Occurs in more than one system type,Magmatic hydrothermal,Epithermal,Low-sulfidation (LS) epithermal goldsilver,Adularia-sericite gold-silver; hot-spring gold-silver; epizonal intrusion-related gold,"AUS: Pajingo, QLD; Cracow, QLD; CAN: Mallery Lake, NU; Bakers Mine, BC; Lawyers, BC; U.S.: Sleeper, Nev.","John, 2001; Simmons and others, 2005"
"Intermediate-sulfidation (IS) epithermal silvergold ± Zn, Pb, Cu, Sn, Mn",,Epithermal/,,,Occurs in more than one system type,Magmatic hydrothermal,Epithermal,"Intermediate-sulfidation (IS) epithermal silvergold ± Zn, Pb, Cu, Sn, Mn",Adularia-sericite silver-gold,"AUS: Lake Cowal, NSW; CAN: Silbak-Premier, BC; U.S.: Comstock and Tonopah, Nev.; Creede, Colo.","Sillitoe and Hedenquist, 2003; Simmons and others, 2005"
High-sulfidation (HS) epithermal silver-gold ± Cu,,Epithermal/,,,Occurs in more than one system type,Magmatic hydrothermal,Epithermal,High-sulfidation (HS) epithermal silver-gold ± Cu,"Quartz-alunite gold, enargite-gold","AUS: Mt. Carlton, QLD; U.S.: Goldfield, Nev.","Sillitoe and Hedenquist, 2003; Simmons and others, 2005"
Alkalic epithermal gold ± Ag,,Epithermal/,,,"Arc or rift, alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Epithermal,Alkalic epithermal gold ± Ag,Au-Ag-Te veins,"FIJ: Emperor; PNG: Porgera; U.S.: Cripple Creek, Colo.","Jensen and Barton, 2000; Kelley and Spry, 2016; Kelley and others, 2020"
Epithermal mercury,,Epithermal/,,,Occurs in more than one system type,Magmatic hydrothermal,Epithermal,Epithermal mercury,Hot spring Hg,"U.S.: McDermitt, Nev.","Rytuba, 1986"
Epithermal beryllium,,Epithermal/,,,"Continental rift, hydrous bimodal magmatism, A-type volcano-plutonic center, magmatic fluid, meteoric water",Magmatic hydrothermal,Epithermal,Epithermal beryllium,Volcanogenic Be,"U.S.: Spor Mtn., Utah","Barton and Young, 2002; Foley and others, 2012"
Epithermal uranium,,Epithermal/,,,"Continental rift, hydrous bimodal magmatism, A-type volcano-plutonic center, magmatic fluid, meteoric water",Magmatic hydrothermal,Epithermal,Epithermal uranium,"Volcanogenic U, volcanic-related U","AUS: Ben Lomond, QLD; CAN: Sagar, QC; U.S.: Marysvale, Utah; Anderson Mine, Ariz.","Nash, 2010; Andrews and Parker, 2017; IAEA, 2020"
Vein,,,,,,,,,,,
Vein ± replacement nickel,,Vein/,,,Occurs in more than one system type,Magmatic hydrothermal,Vein,Vein ± replacement nickel,"Avebury-style Ni, ophiolite-hosted Ni, hydrothermal Ni","AUS: Avebury, TAS","Callaghan and others, 2017"
Vein cobalt ± Ni,,Vein/,,,Occurs in more than one system type,Magmatic hydrothermal,Vein,Vein cobalt ± Ni,Hydrothermal Ni-Co-As,MRT: Bou Azzer,"Ahmed and others, 2009"
Vein copper,,Vein/,,,Occurs in more than one system type,Magmatic hydrothermal,Vein,Vein copper,,"AUS: Cayley, VIC; CAN: Temagami, ON; U.S.: Magma, Ariz.","Friehauf and Pareja, 1998"
Vein tin,,Vein/,,,"Continental back arc or hinter-land, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Vein,Vein tin,Cornwall-type,"CAN: Kalzas, YT; Mount Pleasant, NB; GBR: Cornwall","Reed, 1986e"
Vein tungsten,,Vein/,,,"Continental back arc or hinter-land, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Vein,Vein tungsten,,"CAN: Burnt Hill, NB; PER: Pasto Bueno","Cox and Bagby, 1986"
Vein tin polymetallic,,Vein/,,,"Continental back arc or hinter-land, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Vein,Vein tin polymetallic,Bolivian-type,"AUS: Baal Gammon, QLD; BOL: Oruro","Togashi, 1986"
Vein fluorite,,Vein/,,,Occurs in more than one system type,Magmatic hydrothermal,Vein,Vein fluorite,Fluorspar,"AUS: Meentheena and Speewah, WA; U.S.: Western Kentucky","Anderson, 2019"
Vein polymetallic,,Vein/,,,Occurs in more than one system type,Magmatic hydrothermal,Vein,Vein polymetallic,,"CAN: Hector-Calumet and Elsa, Mayo district, YT; Slocan-New Denver-Ainsworth district, BC","Cox, 1986d"
Breccia pipe,,,,,,,,,,,
Breccia pipe copper,,Breccia pipe/,,,Occurs in more than one system type,Magmatic hydrothermal,Breccia pipe,Breccia pipe copper,Igneous-hydrothermal breccia,"CAN: Tribag, ON; Croxall, ON; CHL: El Teniente","Skewes and others, 2002; Stern and others, 2011"
Breccia pipe gold,,Breccia pipe/,,,"Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Breccia pipe,Breccia pipe gold,Intrusion-related gold,"AUS: Kidston, QLD; Mt. Leyshon, QLD","Baker and Andrew, 1991; Allan and others, 2011"
Breccia pipe molybdenum,,Breccia pipe/,,,"Continental rift, hydrous bimodal magmatism, A-type volcano-plutonic center, magmatic fluid",Magmatic hydrothermal,Breccia pipe,Breccia pipe molybdenum,,"U.S.: Cave Peak Mo, Tex.","Sharp, 1979"
Breccia pipe REE,,Breccia pipe/,,,"Arc or rift, alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Breccia pipe,Breccia pipe REE,,"U.S.: Pea Ridge REE, Mo.","Nuelle and others, 1991"
Carlin-type gold,,Carlin-type/,,,"Slab rollback, arc migration, magmatic volatiles, extensional faults, reduced slope facies, meteoric water, CO2, H2S and hydrolytic metasomatism, jasperoids",Magmatic hydrothermal,Carlin-type,Carlin-type gold,"Sediment-hosted disseminated gold, sediment-hosted micron gold","CAN: Rackla, YT; CHN: Golden triangle; U.S.: Carlin trend, Battle Mtn.- Eureka trend, Getchell trend, Nev.","Hofstra and Cline, 2000; Cline and others, 2005; Muntean, 2018"
Distal-disseminated silver-gold,,Distal-disseminated/,,,Occurs in more than one system type,Magmatic hydrothermal,Distal-disseminated,Distal-disseminated silver-gold,"Carlin-like, Carlin-style","U.S.: Lone Tree Ag-Au, Nev.","Cox, 1992"
Replacement,,,,,,,,,,,
Replacement polymetallic,,Replacement/,,,Occurs in more than one system type,Magmatic hydrothermal,Replacement,Replacement polymetallic,,"CAN: Midway, BC; Bluebell, BC; Sa Dena Hes, YT; MEX: Santa Eulalia, Naica, Fresnillo, Velardena, Providencia; U.S.: Leadville district, Colo.; East Tintic district, Utah; Eureka district, Nev.","Morris, 1986; Titley, 1997"
Replacement gold-silver,,Replacement/,,,Occurs in more than one system type,Magmatic hydrothermal,Replacement,Replacement gold-silver,Sulfide manto Au,"CAN: Ketza River, YT; Mosquito Creek, BC","Abercrombie, 1990"
Replacement tin,,Replacement/,,,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Replacement,Replacement tin,,"AUS: Renison, TAS; CAN: Mount Pleasant, NB","Reed, 1986c; Hammarstrom and others, 1995a"
Replacement copper,,Replacement/,,,Occurs in more than one system type,Magmatic hydrothermal,Replacement,Replacement copper,,"U.S.: Bisbee, Ariz.","Stegen and others, 2005"
Replacement zinc-lead,,Replacement/,,,Occurs in more than one system type,Magmatic hydrothermal,Replacement,Replacement zinc-lead,,"U.S.: Bingham Canyon, Tintic, Park City, Deer Trail, Utah; Pima, Ariz.","Beaty and others, 1986; Titley, 1997"
Replacement manganese,,Replacement/,,,Occurs in more than one system type,Magmatic hydrothermal,Replacement,Replacement manganese,,"U.S.: Butte, Mont.; Leadville, Colo.","Mosier, 1986"
Replacement magnesium,,Replacement/,,,"Arc, magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Replacement,Replacement magnesium,Crystalline magnesite,"CAN: Mount Bussilof, BC; U.S.: Premier Magnesia (Gabbs), Nev.","Page, 1998a; Simandl and Hancock, 1999"
Replacement fluorite,,Replacement/,,,Occurs in more than one system type,Magmatic hydrothermal,Replacement,Replacement fluorite,,"U.S.: McCulloghs Butte, Nev.","Barton, 1982"
Skarn,,,,,,,,,,,
Skarn iron,,Skarn/,,,Occurs in more than one system type,Magmatic hydrothermal,Skarn,Skarn iron,,"AUS: Paddys River, ACT; AZE: Dashkesan; CAN: Tasu, Jessie, Merry Widow, Iron Crown, Iron Hill, Yellow Kid, and Prescott, BC; CHN: Jinshandian, Middle Lower-Yangtze River Metallogenic Belt; CUB: Daiquiri; ITA: San Leone; JPN: Shinyama; RUS: Magnitogorsk, Perschansk, Sheregesh, and Teya; U.S.: Santa Rita, N. Mex.; Cornwall Iron Springs, Utah; Eagle Mountain, Calif","Cox, 1986c; Hammarstrom and others, 1995c; Meinert and others, 2005; Zeng and others, 2020"
Skarn copper,,Skarn/,,,Occurs in more than one system type,Magmatic hydrothermal,Skarn,Skarn copper,,"CAN: Craigmont, BC; Phoenix, BC; Old Sport, BC; Queen Victoria, BC; Mines Gaspé, QC; U.S.: Copper Canyon, Nev.; Carr Fork Cu, Utah","Cox and Theodore, 1986; Meinert and others, 2005"
Skarn tungsten ± Mo,,Skarn/,,,Occurs in more than one system type,Magmatic hydrothermal,Skarn,Skarn tungsten ± Mo,,"AUS: Molyhil, NT; O'Calaghans, WA; CAN: Cantung, NT; MacTung, YT; Emerald Tungsten, Didger, Feeney, Invinsible, and Dimac, BC; RUS: Tyrnyauz; U.S.: Pine Creek, Calif.; Tem Piute district, Nev.","Hammarstrom and others, 1995a; Meinert and others, 2005"
Skarn tin ± copper ± Mo,,Skarn/,,,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,,"CAN: Silver Diamond, BC; Atlin Magnetite, BC; Daybreak, BC; JC, YT; U.S.: Lost River, Alaska; Majuba Hill, Nev.","Reed and Cox, 1986; Meinert and others, 2005"
Skarn gold ± copper ± tungsten,,Skarn/,,,Occurs in more than one system type,Magmatic hydrothermal,Skarn,Skarn gold ± copper ± tungsten,Intrusion-related gold,"AUS: Red Dome, QLD; CAN: Banks Island, BC; Hedley, BC; Ketza River, Marn and Horn, YT; Nickel Plate, BC; French, BC; Canty, BC; Good Hope, BC; Quesnel River, BC; U.S.: Fortitude and McCoy, Nev.","Ewers and Sun, 1989; Sillitoe, 1991; Theodore and others, 1991; Hart and others, 2002; Meinert and others, 2005; Hart, 2007"
Skarn zinc-lead-silver,,Skarn/,,,Occurs in more than one system type,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,,"CAN: Piedmont, BC; Midway, BC; Contact, BC; Quartz Lake, YT; U.S.: Groundhog, N. Mex.","Hammarstrom and others, 1995b; Meinert and others, 2005"
Skarn molybdenum,,Skarn/,,,Occurs in more than one system type,Magmatic hydrothermal,Skarn,Skarn molybdenum,,"CAN: Coxey, BC; Novelty, BC; U.S.: Little Boulder Creek, Idaho; Cannivan Gulch, Mont.","Ray, 1995; Meinert and others, 2005"
Skarn beryllium-fluorite,,Skarn/,,,"Continental rift, hydrous bimodal magmatism, A-type volcano-plutonic center, magmatic fluid",Magmatic hydrothermal,Skarn,Skarn beryllium-fluorite,,"U.S.: Iron Mtn., N. Mex.","Barton and Young, 2002; Meinert and others, 2005"
Skarn uranium-REE,,Skarn/,,,Peralkaline volcano-plutonic center,Magmatic hydrothermal,Skarn,Skarn uranium-REE,,"AUS: Mary Kathleen REE-U, QLD","Oliver and others, 1999; Meinert and others, 2005"
Porphyry,,,,,,,,,,,
Porphyry copper ± gold,,Porphyry/,,,"Arc or rift, alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Porphyry,Porphyry copper ± gold,Alkaline porphyry copper,"AUS: Cadia, NSW; Northparkes, NSW; CAN: Galore Creek, BC; Copper Mountain, BC; Afton-Ajax, BC","Seedorff and others, 2005; Sillitoe, 2010"
Porphyry copper-molybdenum,,Porphyry/,,,"Arc, magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Porphyry,Porphyry copper-molybdenum,Calc-alkaline porphyry copper,"CAN: Highland Valley, BC; Gibraltar, BC; Brenda, BC; Highmont, BC; U.S.: Butte, Mont.; Bingham Canyon, Utah","Seedorff and others, 2005; Sillitoe, 2010"
Porphyry gold ± copper,,Porphyry/,,,"Continental back arc or hinterland, felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Magmatic hydrothermal,Porphyry,Porphyry gold ± copper,Intrusion-related gold,"AUS: Mungana, QLD; CAN: Kerr, BC; U.S.: Palmetto, Nev.","Hollister, 1992; Nethery and Barr, 1998; Seedorff and others, 2005"
Climax-type porphyry molybdenum,,Porphyry/,,,"Continental rift, hydrous bimodal magmatism, A-type volcano-plutonic center, magmatic fluid",Magmatic hydrothermal,Porphyry,Climax-type porphyry molybdenum,Alkali-feldspar rhyolitegranite porphyry molybdenum; high- fluorine porphyry molybdenum,"AUS: Unicorn, VIC; U.S.: Climax and Henderson, Colo.","Seedorff and others, 2005; Ludington and Plumlee, 2009; Audétat and Li, 2017"
